doi	affiliations	countries	properties
10.1109/AGENTS.2017.8015316	Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, 50 Nanyang Avenue, Singapore;Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, 50 Nanyang Avenue, Singapore;Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, 50 Nanyang Avenue, Singapore;Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, 50 Nanyang Avenue, Singapore;Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly (LILY), Nanyang Technological University, 50 Nanyang Avenue, Singapore	Singapore	stakeholders,prototype,top down
10.1109/HICSS.2016.408		Unknown	body,top down
10.1109/BHI.2014.6864405	Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Indonesia;Dept. of Public Health, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Indonesia	Indonesia	environmental,involvement,top down,body
10.1109/ITiME.2012.6291414	Medical College, Wuhan University of Science and technology, China;Enterprise Architect Oracle(China) Software System Ltd., Wuhan, China	China	body,ideation,top down
10.1109/DICTAP.2014.6821701	Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Phayathai Road, Bangkok, THAILAND 10330;Department of Electrical Engineering, Faculty of Engineering, Chulalongkorn University, Phayathai Road, Bangkok, THAILAND 10330	Thailand	body,top down,wearables
10.1109/ICBAKE.2013.42		Unknown	body,top down
10.1109/CultureComputing.2013.50		Unknown	participatory design,top down
10.1109/SAS.2012.6166286	Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan	Japan	involvement,top down
10.1109/IS3C.2014.255		Unknown	furniture,involvement,top down
ieeexploreieeeorgstampstampjsparnumber5602819	Graduate School of Science and Technology, Nagasaki University Nagasaki Japan;Graduate School of Science and Technology, Nagasaki University Nagasaki Japan;Graduate School of Science and Technology, Nagasaki University Nagasaki Japan;Graduate School of Science and Technology, Nagasaki University Nagasaki Japan;Graduate School of Science and Technology, Nagasaki University Nagasaki Japan;Graduate School of Science and Technology, Nagasaki University Nagasaki Japan;Dept, of Mechanical Systems Engineering, Nagasaki University Nagasaki Japan;Dept, of Mechanical Systems Engineering, Nagasaki University Nagasaki Japan;Graduate School of Biomédical Sciences, Nagasaki University Nagasaki Japan	Japan	furniture,top down
10.1109/HealthCom.2017.8210809	Concordia University, Montreal, Quebec, H3G 1M8, Canada;University of Wisconsin-La Crosse, La Crosse, WI 54601, U.S.A;Xi'an JiaoTong Liverpool University, Suzhou, China	Canada;China	stakeholders,ideation,context,top down
10.1109/SeGAH.2013.6665313	Engineering Institute of Coimbra-RoboCorp, Portugal;Engineering Institute of Coimbra, RoboCorp, Department of Electrical Engineering, Portugal;Engineering Institute of Coimbra-RoboCorp, Portugal;Engineering Institute of Coimbra, RoboCorp, Department of Electrical Engineering, Portugal;Engineering Institute of Coimbra, RoboCorp, Department of Electrical Engineering, Portugal	Portugal	environmental,top down,body
10.1109/IMWS-BIO.2015.7303790	Singapore MIT Alliance for Research and Technology, 1 CREATE Way, Singapore 138602;Department of Electrical and Computer Engineering, National University of Singapore, Singapore 117583	Singapore	body,top down,wearables
10.1109/ARSO.2012.6213397	Fraunhofer IPA, 70569 Stuttgart, Germany;Fraunhofer IPA, 70569 Stuttgart, Germany	Germany	top down,workflow
10.1109/COMPSYM.2010.5685422	Department of Computer Science and Information, Engineering, Tamkang University, Taipei, Taiwan;Department of Computer Science and Information, Engineering, Tamkang University, Taipei, Taiwan;Department of Computers and Information Science, Seikei University, Tokyo, Japan	Japan;Taiwan	body,top down
10.1109/ARSO.2016.7736257	School of Public Policy and Administration, Xi'an Jiaotong University, Shaanxi 701149 China;School of Public Policy and Administration, Xi'an Jiaotong University, Shaanxi 701149 China;School of Public Policy and Administration, Xi'an Jiaotong University, Shaanxi 701149 China;School of Public Policy and Administration, Xi'an Jiaotong University, Shaanxi 701149 China	China	involvement,top down
10.1109/ISNCC.2016.7746072	College of Technology of Dammam, Saudi Arabia;College of Technology of Dammam, Saudi Arabia;College of Technology of Dammam, Saudi Arabia;College of Technology of Dammam, Saudi Arabia;College of Technology of Dammam, Saudi Arabia;College of Technology of Dammam, Saudi Arabia	Saudi Arabia	stakeholders,ideation,workflow,top down
10.1109/ICASI.2017.7988307	Department of Computer Science and Communication Engineering, Providence University, 200, Sec. 7, Taiwan Boulevard, Shalu Dist., Taichung City 43301 Taiwan, ROC;Department of Computer Science and Communication Engineering, Providence University, 200, Sec. 7, Taiwan Boulevard, Shalu Dist., Taichung City 43301 Taiwan, ROC;Department of Computer Science and Communication Engineering, Providence University, 200, Sec. 7, Taiwan Boulevard, Shalu Dist., Taichung City 43301 Taiwan, ROC	Taiwan	body,involvement,top down
ieeexploreieeeorgstampstampjsparnumber5407248	School of Engineering and Advance Technology, Massey University (Turitea), Palmerston North, New Zealand;School of Engineering and Advance Technology, Massey University (Turitea), Palmerston North, New Zealand;School of Engineering and Advance Technology, Massey University (Turitea), Palmerston North, New Zealand	New Zealand	body,involvement,furniture,top down,participatory design
10.1109/ICOT.2015.7498476	Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan, R.O.C.;Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan, R.O.C.;Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan, R.O.C.	Taiwan	body,top down
